station_id,station_name,latitude,longitude
ANAND_VIHAR,Anand Vihar,28.646835,77.316032
ITO,ITO,28.628624,77.241060
OKHLA_PHASE_2,Okhla Phase-II,28.530785,77.271255
AYA_NAGAR,Aya Nagar,28.4706914,77.1099364
RK_PURAM,R.K. Puram,28.674045,77.131023
DHYAN_CHAND_STADIUM,Major Dhyan Chand National Stadium,28.611281,77.237738
MANDIR_MARG,Mandir Marg,28.636429,77.201067
PUNJABI_BAGH,Punjabi Bagh,28.563262,77.186937
JAHANGIRPURI,Jahangirpuri,28.732820,77.170633
DWARKA_SECTOR_8,Dwarka-Sector 8,28.5710274,77.0719006
